KVBG|Vandenberg Air Force Base|Lompoc, CA 
KNSI|San Nicolas Island Navy|San Nicolas Island, CA
KWMC|Winnemucca Municipal|Winnemucca, NV
KOTH|Southwest Oregon Regional|North Bend, OR
KPDT|Eastern Oregon Regional|Pendleton, OR
KRNO|Reno/Taho International|Reno, NV
KSBP|San Luis County Regional|San Luis Obispo, CA
KPDX|Portland International|Portland, OR
KSIY|Siskiyou County|Montague, CA
KCIC|Chico Municipal|Chico, CA
KRNM|Ramona|Ramona, CA
KMUO|Mountain Home Air Force Base|Mountain Home, ID
KGCD|Grant County Regional/Ogilvie Field|John Day, OR
KORD|Chicago O'Hare International|Chicago, IL
KBOK|Brookings|Brookings, OR
KHAF|Half Moon Bay|Half Moon Bay, CA
KCVO|Corvallis Municipal|Corvallis, OR
KOMA|Eppley Airfield|Omaha, NE
KPIR|Pierre Regional Airport|Pierre, SD
KONP|Newport Municipal|Newport, OR
KEUG|Mahlon Sweet Field|Eugene, OR
KRDD|Redding Municipal|Redding, CA
KSBA|Santa Barbara Municipal|Santa Barbara, CA
KCOE|Coeur d'Alene/Pappy Boyington Field|Coeur d'Alene, ID
KKLS|Southwest Washington Regional|Kelso, WA
KACV|Arcata|Arcata, CA
KCLM|William R Fairchild International|Port Angeles, WA
KRBL|Red Bluff Municipal|Red Bluff, CA
KSLC|Salt Lake City International|Salt Lake City, UT
KUKI|Ukiah Municipal|Ukiah, CA
KMSP|Minneapolis St Paul International|Minneapolis, MN
KSEA|Seattle-Tacoma International|Seattle, WA
KELN|Bowers Field|Ellensburg, WA
KSTS|Charles M. Schulz/Sonoma County|Santa Rosa, CA
KRKS|Rock Springs/Sweetwater County|Rock Springs, WY
KUAO|Aurora State|Aurora, OR
KDLS|Columbia Gorge Regional/The Dalles Municipal|The Dalles, OR
KCCR|Buchanan Field|Concord, CA
KEKO|Elko Regional|Elko, NV
KELY|Ely Airport/Yelland Field|Ely, NV
KMHR|Sacramento Mather|Sacramento, CA
KOAK|Metropolitan Oakland International|Oakland, CA
KBDN|Bend Municipal|Bend, OR
KSQL|San Carlos|San Carlos, CA
KDEN|Denver International|Denver, CO
KSFO|San Francisco International|San Francisco, CA
KMAN|Nampa Municipal|Nampa, ID
KMSN|Dane County Regional/Truax Field|Madison, WI
KAVX|Catalina|Avalon, CA
KLMT|Klamath Falls|Klamath Falls, OR
KRAP|Rapid City Regional|Rapid City, SD
KRHV|Reid-Hillview|San Jose, CA
KBNO|Burns Municipal|Burns, OR
KHIF|Hill Air Force Base|Ogden, UT
KLAX|Los Angeles International|Los Angeles, CA
KSUX|Sioux Gateway Airport/Bud Day Field|Sioux City, IA
KHWD|Hayward Executive|Hayward, CA
KSLE|McNary Field|Salem, OR
KOLM|Olympia Regional|Olympia, WA
KMFR|Rogue Valley International|Medford, OR
KBOI|Boise Air Terminal/Gowen Field|Boise, ID
KRBG|Roseburg Regional|Roseburg, OR
KRCA|Ellsworth AFB|Rapid City, SD
KONO|Ontario Municipal|Ontario, OR
KBHB|Hancock County/Bar Harbor|Bar Harbor, ME
KRDM|Roberts Field|Redmond, OR
KCLS|Chehalis-Centralia|Chehalis, WA
KPAE|Snohomish County/Paine Field|Everett, WA
KIDA|Idaho Falls Regional|Idaho Falls, ID
KSCK|Stockton Metropolitan|Stockton, CA
KLKV|Lake County|Lakeview, OR
KLAS|McCarran International|Las Vegas, NV
KNUC|San Clemente Island NALF|San Clemente Island, CA
KCEC|Jack McNamara Field|Crescent City, CA
KLWS|Lewiston-Nez Perce County|Lewiston, ID
KPRB|Paso Robles Municipal|Paso Robles, CA
KHIO|Portland-Hillsboro|Portland, OR
KLOL|Derby Field|Lovelock, NV
KSUU|Travis Air Force Base|Fairfield, CA
KPVU|Provo Municipal|Provo, UT
KSKA|Fairchild Air Force Base|Spokane, WA
KSXT|Sexton Summit|North of Grants Pass, OR (not an airport)
KTWF|Joslin Field|Twin Falls, ID
KSJC|Norman Y. Mineta/San Jose International|San Jose, CA
KMYF|Montgomery Field|San Diego, CA
KENV|Wendover|Wendover, UT
KAPC|Napa County|Napa, CA
KMRY|Monterey Regional|Monterey, CA
KPAO|Palo Alto|Palo Alto, CA
KREO|Rome State|Rome, OR
KSTL|Lambert/St Louis International|St Louis, MO
KAAT|Alturas Municipal|Alturas, CA
KFOT|Rohnerville|Fortuna, CA
PAJN|Juneau International|Juneau, AK
PANC|Ted Stevens Anchorage International|Anchorage, AK
